# Data from methylazulene_opt_ICSS_XY_1.log.
# Shielding tensor data from ISO component.
# Processed with ICSScsv.
# Author: Zhe Wang
# Homepage: https://www.wangzhe95.net/program-icsscsv


XY,-7.0,-6.8,-6.6,-6.4,-6.2,-6.0,-5.8,-5.6,-5.4,-5.2,-5.0,-4.8,-4.6,-4.4,-4.2,-4.0,-3.8,-3.6,-3.4,-3.2,-3.0,-2.8,-2.6,-2.4,-2.2,-2.0,-1.8,-1.6,-1.4,-1.2,-1.0,-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,
-6.0,0.0881,0.0925,0.0971,0.102,0.1071,0.1124,0.118,0.1238,0.1298,0.1361,0.1427,0.1494,0.1563,0.1634,0.1706,0.1779,0.1853,0.1925,0.1997,0.2067,0.2134,0.2198,0.2258,0.2313,0.2364,0.2409,0.245,0.2485,0.2516,0.2541,0.2562,0.2578,0.2589,0.2594,0.2593,0.2584,0.2568,0.2543,0.2509,0.2466,0.2413,0.235,0.2278,0.2198,0.2111,0.2018,0.192,0.1819,0.1716,0.1614,0.1513,0.1414,0.132,0.123,0.1146,0.1068,0.0997,0.0931,0.0872,0.0818,0.077,0.0727,0.0689,0.0654,0.0623,0.0594,0.0569,0.0545,0.0523,0.0503,0.0484,
-5.8,0.0921,0.0968,0.1018,0.1071,0.1126,0.1184,0.1245,0.1308,0.1375,0.1444,0.1517,0.1591,0.1669,0.1748,0.1829,0.1911,0.1994,0.2077,0.2159,0.2239,0.2315,0.2388,0.2456,0.2519,0.2576,0.2627,0.2672,0.2712,0.2747,0.2776,0.28,0.2819,0.2832,0.284,0.2841,0.2833,0.2817,0.2791,0.2754,0.2706,0.2647,0.2576,0.2494,0.2402,0.2302,0.2194,0.2081,0.1965,0.1847,0.1729,0.1613,0.1501,0.1394,0.1293,0.1199,0.1113,0.1034,0.0963,0.0899,0.0842,0.0792,0.0747,0.0707,0.0672,0.064,0.0611,0.0585,0.0562,0.054,0.0519,0.05,
-5.6,0.0962,0.1013,0.1067,0.1124,0.1184,0.1247,0.1314,0.1383,0.1456,0.1533,0.1613,0.1696,0.1782,0.1871,0.1962,0.2055,0.2149,0.2243,0.2337,0.2428,0.2515,0.2599,0.2676,0.2748,0.2812,0.287,0.2921,0.2965,0.3004,0.3037,0.3065,0.3087,0.3104,0.3115,0.3118,0.3113,0.3097,0.3071,0.3031,0.2978,0.2911,0.2831,0.2737,0.2632,0.2516,0.2391,0.226,0.2125,0.1989,0.1853,0.172,0.1591,0.147,0.1356,0.1251,0.1155,0.1069,0.0992,0.0924,0.0864,0.0811,0.0765,0.0724,0.0689,0.0657,0.0628,0.0602,0.0579,0.0557,0.0536,0.0517,
-5.4,0.1005,0.106,0.1118,0.118,0.1245,0.1314,0.1386,0.1463,0.1543,0.1627,0.1716,0.1808,0.1904,0.2003,0.2106,0.2211,0.2318,0.2425,0.2532,0.2636,0.2737,0.2832,0.2921,0.3002,0.3075,0.314,0.3197,0.3247,0.329,0.3327,0.336,0.3386,0.3408,0.3422,0.3429,0.3427,0.3413,0.3386,0.3344,0.3286,0.3211,0.3119,0.3012,0.289,0.2756,0.2611,0.2459,0.2302,0.2143,0.1985,0.1832,0.1684,0.1546,0.1417,0.13,0.1194,0.11,0.1017,0.0945,0.0882,0.0828,0.0781,0.074,0.0704,0.0673,0.0645,0.0619,0.0596,0.0575,0.0554,0.0535,
-5.2,0.105,0.1109,0.1172,0.1238,0.1309,0.1384,0.1463,0.1546,0.1634,0.1727,0.1825,0.1927,0.2035,0.2146,0.2262,0.2381,0.2502,0.2625,0.2747,0.2866,0.2982,0.3091,0.3192,0.3284,0.3366,0.3439,0.3503,0.3559,0.3608,0.365,0.3688,0.372,0.3746,0.3766,0.3779,0.378,0.3769,0.3742,0.3698,0.3634,0.355,0.3446,0.3323,0.3182,0.3026,0.2857,0.2679,0.2496,0.2311,0.2127,0.1949,0.1779,0.162,0.1475,0.1343,0.1226,0.1124,0.1036,0.096,0.0895,0.0841,0.0794,0.0754,0.0719,0.0689,0.0661,0.0637,0.0614,0.0593,0.0573,0.0554,
-5.0,0.1096,0.116,0.1227,0.1299,0.1376,0.1457,0.1543,0.1635,0.1731,0.1834,0.1942,0.2055,0.2174,0.2299,0.2429,0.2564,0.2702,0.2842,0.2981,0.3118,0.325,0.3374,0.3489,0.3593,0.3686,0.3768,0.384,0.3903,0.3958,0.4008,0.4051,0.409,0.4124,0.4151,0.417,0.4177,0.417,0.4145,0.4099,0.4029,0.3935,0.3817,0.3676,0.3512,0.333,0.3133,0.2924,0.2709,0.2491,0.2276,0.2069,0.1872,0.1691,0.1525,0.1379,0.125,0.114,0.1047,0.0968,0.0903,0.0849,0.0803,0.0765,0.0732,0.0704,0.0678,0.0655,0.0634,0.0613,0.0594,0.0575,
-4.8,0.1144,0.1212,0.1285,0.1363,0.1446,0.1534,0.1628,0.1728,0.1834,0.1946,0.2065,0.2191,0.2324,0.2464,0.261,0.2762,0.2918,0.3077,0.3236,0.3392,0.3542,0.3682,0.381,0.3926,0.4029,0.412,0.4202,0.4275,0.434,0.4399,0.4453,0.4501,0.4543,0.4579,0.4606,0.4621,0.4619,0.4597,0.455,0.4475,0.4371,0.4237,0.4074,0.3885,0.3672,0.344,0.3195,0.2941,0.2684,0.2431,0.2188,0.196,0.1752,0.1565,0.1401,0.1261,0.1144,0.1046,0.0967,0.0903,0.0851,0.0809,0.0774,0.0745,0.0719,0.0696,0.0675,0.0655,0.0635,0.0616,0.0598,
-4.6,0.1193,0.1267,0.1345,0.1429,0.1519,0.1615,0.1717,0.1826,0.1942,0.2066,0.2197,0.2336,0.2484,0.2639,0.2803,0.2974,0.3151,0.3331,0.3511,0.3686,0.3853,0.4006,0.4145,0.4269,0.438,0.4481,0.4575,0.4663,0.4746,0.4821,0.489,0.4952,0.5007,0.5054,0.509,0.5113,0.5118,0.51,0.5053,0.4974,0.4859,0.4709,0.4523,0.4304,0.4055,0.3782,0.3491,0.3189,0.2884,0.2586,0.23,0.2035,0.1795,0.1585,0.1404,0.1253,0.113,0.1032,0.0954,0.0894,0.0847,0.081,0.0781,0.0756,0.0734,0.0715,0.0696,0.0678,0.066,0.0641,0.0623,
-4.4,0.1244,0.1323,0.1407,0.1498,0.1595,0.1699,0.1811,0.193,0.2057,0.2192,0.2336,0.249,0.2653,0.2827,0.301,0.3201,0.34,0.3602,0.3803,0.3995,0.4173,0.4332,0.4472,0.4595,0.4708,0.4818,0.4929,0.5043,0.5156,0.5263,0.5359,0.5443,0.5514,0.5572,0.5617,0.5647,0.5659,0.5646,0.5602,0.5521,0.5399,0.5233,0.5023,0.477,0.4479,0.4155,0.3807,0.3445,0.308,0.2724,0.2388,0.2079,0.1806,0.1571,0.1376,0.1217,0.1093,0.0998,0.0926,0.0874,0.0836,0.0807,0.0785,0.0767,0.0751,0.0736,0.072,0.0704,0.0687,0.0669,0.0651,
-4.2,0.1296,0.1381,0.1472,0.157,0.1675,0.1787,0.1908,0.2038,0.2177,0.2325,0.2484,0.2653,0.2834,0.3026,0.323,0.3444,0.3665,0.3888,0.4106,0.4308,0.4486,0.4634,0.4753,0.4854,0.4954,0.5067,0.5204,0.5363,0.5533,0.5697,0.5843,0.5962,0.6054,0.6121,0.617,0.6202,0.6218,0.6212,0.6176,0.6102,0.598,0.5803,0.5569,0.5279,0.4936,0.4548,0.4127,0.3686,0.3244,0.2816,0.2418,0.2063,0.1756,0.1501,0.1297,0.1139,0.1022,0.0938,0.088,0.0842,0.0817,0.0801,0.0789,0.078,0.077,0.076,0.0748,0.0734,0.0718,0.0701,0.0682,
-4.0,0.1349,0.144,0.1538,0.1643,0.1757,0.1879,0.2011,0.2152,0.2304,0.2466,0.264,0.2827,0.3026,0.3238,0.3463,0.37,0.3944,0.4186,0.4414,0.4612,0.4766,0.4868,0.4926,0.4963,0.5016,0.512,0.5294,0.5532,0.5806,0.6077,0.631,0.6486,0.6604,0.6672,0.6709,0.6731,0.6745,0.6749,0.6734,0.6681,0.6575,0.6399,0.6147,0.5815,0.5407,0.4933,0.4409,0.386,0.3312,0.2793,0.2325,0.1922,0.1592,0.1333,0.1138,0.0998,0.0904,0.0844,0.0811,0.0795,0.0791,0.0791,0.0794,0.0795,0.0794,0.0789,0.078,0.0769,0.0754,0.0737,0.0718,
-3.8,0.1404,0.1501,0.1606,0.1719,0.1842,0.1975,0.2117,0.2271,0.2437,0.2615,0.2805,0.301,0.3229,0.3463,0.3711,0.3971,0.4236,0.4492,0.4718,0.4889,0.4979,0.4977,0.49,0.4794,0.4735,0.4798,0.5025,0.54,0.5858,0.6314,0.6696,0.6961,0.7107,0.7158,0.7155,0.7141,0.7143,0.7167,0.7196,0.7198,0.7139,0.6989,0.6728,0.6347,0.5849,0.5248,0.4573,0.3863,0.3166,0.2527,0.1981,0.1545,0.122,0.0993,0.0846,0.076,0.0718,0.0706,0.0714,0.0734,0.0758,0.0781,0.0801,0.0816,0.0824,0.0825,0.082,0.0811,0.0796,0.0779,0.0758,
-3.6,0.1459,0.1563,0.1676,0.1798,0.193,0.2073,0.2228,0.2396,0.2576,0.2771,0.2979,0.3204,0.3444,0.3701,0.3973,0.4257,0.4542,0.4805,0.5013,0.5122,0.509,0.4893,0.4554,0.4162,0.3865,0.3822,0.412,0.4724,0.5494,0.626,0.688,0.7279,0.7451,0.7449,0.7358,0.7269,0.7248,0.7314,0.7438,0.7558,0.7605,0.752,0.7264,0.6818,0.6184,0.5384,0.4466,0.3503,0.2581,0.1781,0.116,0.0732,0.0479,0.0363,0.034,0.0373,0.0434,0.0508,0.0585,0.0657,0.0721,0.0775,0.0816,0.0846,0.0864,0.0871,0.0869,0.0861,0.0846,0.0827,0.0804,
-3.4,0.1515,0.1626,0.1746,0.1878,0.202,0.2175,0.2343,0.2525,0.2722,0.2934,0.3162,0.3407,0.367,0.3951,0.4249,0.4558,0.4861,0.5125,0.5297,0.5304,0.507,0.4545,0.375,0.283,0.2068,0.1785,0.2164,0.3131,0.4406,0.566,0.6645,0.7234,0.7426,0.7315,0.7062,0.6843,0.6793,0.6958,0.7279,0.7633,0.7884,0.7926,0.7691,0.7146,0.6289,0.5154,0.3822,0.2428,0.1143,0.0123,-0.0541,-0.0855,-0.0888,-0.0739,-0.05,-0.0235,0.0015,0.0234,0.0417,0.0567,0.0686,0.0777,0.0844,0.089,0.0917,0.093,0.093,0.0921,0.0904,0.0883,0.0857,
